Date,Adj Close
25/06/2018,2722.25
26/06/2018,2728.5
27/06/2018,2705
28/06/2018,2719.5
29/06/2018,2721.5
01/07/2018,null
02/07/2018,2727.25
03/07/2018,null
05/07/2018,2738.5
06/07/2018,2763
08/07/2018,null
09/07/2018,2787.5
10/07/2018,2796.75
11/07/2018,2774
12/07/2018,2798.5
13/07/2018,2803.25
15/07/2018,null
16/07/2018,2796.5
17/07/2018,2811.25
18/07/2018,2816
19/07/2018,2805.25
20/07/2018,2800.75
22/07/2018,null
23/07/2018,2812
24/07/2018,2821
25/07/2018,2841.25
26/07/2018,2842.5
27/07/2018,2817.5
29/07/2018,null
30/07/2018,2803.25
31/07/2018,2817
01/08/2018,2810.75
02/08/2018,2828.5
03/08/2018,2839.5
05/08/2018,null
06/08/2018,2850
07/08/2018,2859.75
08/08/2018,2855.25
09/08/2018,2853.75
10/08/2018,2836.75
12/08/2018,null
13/08/2018,2825.5
14/08/2018,2841
15/08/2018,2821.25
16/08/2018,2844.75
17/08/2018,2852.25
19/08/2018,null
20/08/2018,2858.5
21/08/2018,2861.75
22/08/2018,2861.25
23/08/2018,2858
24/08/2018,2876.75
26/08/2018,null
27/08/2018,2898.5
28/08/2018,2899.25
29/08/2018,2914.75
30/08/2018,2902
31/08/2018,2902
02/09/2018,null
04/09/2018,2898.25
05/09/2018,2888.25
06/09/2018,2879
07/09/2018,2874.75
09/09/2018,null
10/09/2018,2880.25
11/09/2018,2889.75
12/09/2018,2888.5
13/09/2018,2905.25
14/09/2018,2906.25
16/09/2018,null
17/09/2018,2891
18/09/2018,2906.5
19/09/2018,2910
20/09/2018,2934
21/09/2018,2943
23/09/2018,null
24/09/2018,2925.5
25/09/2018,2921.25
26/09/2018,2911.5
27/09/2018,2920
28/09/2018,2919
30/09/2018,null
01/10/2018,2930
02/10/2018,2928.5
03/10/2018,2931.5
04/10/2018,2907.75
05/10/2018,2894
07/10/2018,null
08/10/2018,2893.75
09/10/2018,2888.25
10/10/2018,2781
11/10/2018,2745.5
12/10/2018,2768.5
14/10/2018,null
15/10/2018,2749
